gipps_lake_quality_site,gipps_lake_quality_year,gipps_lake_quality_month,gipps_lake_quality_temp,gipps_lake_quality_dosat,gipps_lake_quality_ph,gipps_lake_quality_algae,gipps_lake_quality_alert
2316,2013,1,,,,,
2316,2013,2,,,,,
2316,2013,3,,,,,
2316,2013,4,,,,,
2316,2013,5,,,,,
2316,2013,6,,,,,
2316,2013,7,,,,,
2316,2013,8,,,,,
2316,2013,9,,,,,
2316,2013,10,,,,,
2316,2013,11,,,,,
2316,2013,12,24.5,108.9,,,
2316,2014,1,22.9353,96.0753251,,,
2316,2014,2,21.44365,102.7070624,,,
2316,2014,3,19.7935,96.46604,,,
2316,2014,4,19.41185,107.6939683,,,
2316,2014,5,15.3,106.9990937,,,
2316,2014,6,12.19895,103.7646018,,,
2316,2014,7,11.27475,113.3271275,,,
2316,2014,8,,,,,
2316,2014,9,14.66575,113.4774977,,,
2316,2014,10,18.84195,105.580155,,,
2316,2014,11,20.4684,104.6412662,,,
2316,2014,12,23.609,111.3720925,,,
2316,2015,1,22.1714,,,,
2316,2015,2,23.4289,,,,
2316,2015,3,18.9063,96.72176437,,,
2316,2015,4,15.8733,105.30537,,,
2316,2015,5,12.85335,99.3825775,,,
2316,2015,6,11.05465,103.993995,,,
2316,2015,7,10.71575,115.2289875,,,
2316,2015,8,13,104.14633,,,
2316,2015,9,,,,,
2316,2015,10,17.884,93.07490356,,,
2316,2015,11,21.3828,101.042785,,,
2316,2015,12,20.54565,111.35852,,,
2316,2016,1,22.5151,111.0209817,,,
2316,2016,2,23.8159,117.2611044,,,
2316,2016,3,18.4881,96.61912974,,,
2316,2016,4,17.1464,103.6619408,,,
2316,2016,5,13.69,102.3912742,,,
2316,2016,6,11.44395,99.67544921,,,
2316,2016,7,9.30835,94.79746722,,,
2316,2016,8,12.217,114.3550808,,,
2316,2016,9,14.4751,,,,
2316,2016,10,16.4425,106.6045875,,,
2316,2016,11,20.6534,113.7119538,,,
2316,2016,12,,,,,
2316,2017,1,,,,,
2316,2017,2,20.9709,87.65041236,,,
2316,2017,3,21.56105,99.3367492,,,
2316,2017,4,18.20965,113.6387833,,,
2316,2017,5,14.1394,110.6759462,,,
2316,2017,6,11.2473,107.4729425,,,
2316,2017,7,,,,,
2316,2017,8,12.1376,99.9807547,,,
2316,2017,9,,,,,
2316,2017,10,,,,,
2316,2017,11,16.9096,101.06233,,,
2316,2017,12,21.9281,101.675,,,
2316,2018,1,,,,,
2316,2018,2,,,,,
2316,2018,3,21.17105,108.225,,,
2316,2018,4,20.1789,98.989,,,
2316,2018,5,,,,,
2316,2018,6,12.634,,,,
2316,2018,7,,,,,
2316,2018,8,10.9,,,,
2316,2018,9,,,,,
2316,2018,10,19,,,,
2316,2018,11,19.4,,,,
2316,2018,12,23.3,,,,
2316,2019,1,25.3,,,,
2316,2019,2,20.4,,,,
2316,2019,3,20.8,,,,
2316,2019,4,18.7,,,,
2316,2019,5,,,,,
2316,2019,6,10.95,,,,
2316,2019,7,10.1454,97.59,,,
2316,2019,8,10.0965,99.81,,,
2316,2019,9,13.4706,106.63,,,
2316,2019,10,14.9083,105.15,,,
2316,2019,11,17.6837,94.42,,,
2316,2019,12,16.9325,93.8,,,
2316,2020,1,,,,,
2316,2020,2,22.5371,120.02,,,
2316,2020,3,20.4314,109.17,,,
2316,2020,4,,,,,
2316,2020,5,12.9903,124.65,,,
2316,2020,6,11.5216,107.45,,,
2316,2020,7,,,,,
2316,2020,8,,,,,
2316,2020,9,,,,,
2316,2020,10,,,,,
2316,2020,11,,,,,
2316,2020,12,21.0556,113.01,8.707,,
2316,2021,1,20.1227,111.75,8.894,,
2316,2021,2,21.2222,101.88,8.868,,
2316,2021,3,17.8056,100.95,8.854,,
2316,2021,4,15.3265,100.39,8.192,,
2316,2021,5,15.5706,94.12,8.22,,
2316,2021,6,11.026,116.39,8.497,,
2316,2021,7,11.2184,97.57,8.678,,
2316,2021,8,,,,,
2316,2021,9,,,,,
2316,2021,10,,,,,
2316,2021,11,19.7867,114.66,8.336,,
2316,2021,12,22.586,104.42,8.569,,
2316,2022,1,25.1844,96.88,8.842,,
2316,2022,2,23.2279,103.12,8.366,,
2316,2022,3,21.6104,156.73,9.165,,
2316,2022,4,18.0973,153.25,9.255,,
2316,2022,5,15.0612,112.69,8.77,,
2316,2022,6,10.405,127.84,8.536,,
2316,2022,7,10.2121,112.15,8.899,,
2316,2022,8,11.3182,107.83,8.697,,
2316,2022,9,14.3079,102.94,8.458,,
2316,2022,10,,,,,
2316,2022,11,16.1238,102.645,8.269,,
2316,2022,12,19.6377,116.59,8.541,,
2316,2023,1,23.4909,109.62,8.276,,
2316,2023,2,23.1283,102.28,8.155,,
2316,2023,3,20.5013,104.65,8.22,,
2316,2023,4,16.5775,110.84,8.079,,
2316,2023,5,12.8672,108.55,8.029,,
2316,2023,6,10.4003,110.35,8.004,,
2316,2023,7,,,,,
2316,2023,8,11.6859,111.37,8.024,,
2316,2023,9,14.0671,105.52,7.851,,
2316,2023,10,16.6209,91.59,7.631,,
2316,2023,11,16.2705,105.35,7.726,,
2316,2023,12,22.4584,97.44,7.835,,
2316,2024,1,24.1397,127.34,8.275,,
2316,2024,2,22.5563,134.35,8.45,Low,No
2316,2024,3,20.4148,113.36,8.02,Low,No
2316,2024,4,15.6885,99.55,8.016,Low,No
2316,2024,5,13.9834,110.39,7.672,Low,No
2316,2024,6,,,,,
2316,2024,7,10.5936,122.98,8.282,,
