gipps_lake_quality_site,gipps_lake_quality_year,gipps_lake_quality_month,gipps_lake_quality_temp,gipps_lake_quality_dosat,gipps_lake_quality_ph,gipps_lake_algae,gipps_lake_quality_alert,gipps_lake_quality_qualified
2306,2013,12,21.6,95.59848513,,,,TRUE
2306,2014,1,22.3,90.11763708,,,,TRUE
2306,2014,10,16.23545,94.748903,,,,TRUE
2306,2014,11,19.19235,106.3532476,,,,TRUE
2306,2014,12,20.6432,90.269695,,,,TRUE
2306,2014,2,19.07685,98.6601511,,,,TRUE
2306,2014,3,17.9668,99.1829253,,,,TRUE
2306,2014,4,16.9877,99.0067806,,,,TRUE
2306,2014,5,14.7,95.1367167,,,,FALSE
2306,2014,6,12.128,106.9510147,,,,FALSE
2306,2014,7,10.8,105.72927,,,,FALSE
2306,2014,9,13.189925,107.0633197,,,,FALSE
2306,2015,1,19.75765,96.23060948,,,,TRUE
2306,2015,10,18.2719,,,,,TRUE
2306,2015,11,20.30495,97.54915,,,,TRUE
2306,2015,12,19.36695,,,,,TRUE
2306,2015,2,23.2455,,,,,TRUE
2306,2015,3,17.91085,95.132349,,,,TRUE
2306,2015,4,15.1294,100.5638077,,,,FALSE
2306,2015,5,12.13825,106.847465,,,,FALSE
2306,2015,6,10.20605,100.2442785,,,,FALSE
2306,2015,7,8.52395,101.213324,,,,FALSE
2306,2015,8,11.4,101.17383,,,,FALSE
2306,2016,1,21.39635,88.50154422,,,,TRUE
2306,2016,10,14.1713,96.45564791,,,,FALSE
2306,2016,11,19.96885,94.82839535,,,,TRUE
2306,2016,12,19.58515,100.4981542,,,,TRUE
2306,2016,2,21.0369,102.5471059,,,,TRUE
2306,2016,3,17.4214,93.2298627,,,,TRUE
2306,2016,4,15.98265,104.7736487,,,,FALSE
2306,2016,5,12.3327,103.88502,,,,FALSE
2306,2016,6,10.47895,97.07796777,,,,FALSE
2306,2016,7,8.6103,102.18852,,,,FALSE
2306,2016,8,11.39525,99.22334118,,,,FALSE
2306,2016,9,13.73805,100.9231,,,,FALSE
2306,2017,1,20.77815,98.05565725,,,,TRUE
2306,2017,11,16.33675,99.1334475,,,,TRUE
2306,2017,12,20.22645,99.02,,,,TRUE
2306,2017,2,18.9822,71.62224995,,,,FALSE
2306,2017,3,20.3713,89.2810214,,,,TRUE
2306,2017,4,17.02765,107.975191,,,,TRUE
2306,2017,5,13.0787,108.6644416,,,,FALSE
2306,2017,6,10.51995,103.4349624,,,,FALSE
2306,2017,8,9.9933,102.413565,,,,FALSE
2306,2018,10,18.7,,,,,TRUE
2306,2018,11,20.2,,,,,TRUE
2306,2018,12,22.9,,,,,TRUE
2306,2018,3,19.4855,90.689,,,,TRUE
2306,2018,4,19.5171,103.788,,,,TRUE
2306,2018,6,11.1101,,,,,FALSE
2306,2018,8,9.85405,100.54,,,,FALSE
2306,2019,1,24.1,,,,,TRUE
2306,2019,10,14.6112,103.87,,,,FALSE
2306,2019,12,15.0151,92.28,,,,FALSE
2306,2019,2,17.9,,,,,TRUE
2306,2019,3,20.4,,,,,TRUE
2306,2019,4,17.6,,,,,TRUE
2306,2019,6,9.5,,,,,FALSE
2306,2019,7,9.2232,94.99,,,,FALSE
2306,2019,8,9.1944,104.54,,,,FALSE
2306,2019,9,12.7627,122.37,,,,FALSE
2306,2020,12,20.22775,101.565,8.6985,,,FALSE
2306,2020,2,21.6539,106.37,,,,TRUE
2306,2020,3,18.2924,93.21,,,,TRUE
2306,2020,5,11.917,118.95,,,,FALSE
2306,2020,6,10.5536,102.92,,,,FALSE
2306,2021,1,18.4781,104.49,8.892,,,FALSE
2306,2021,11,18.23055,90.18,8.268,,,TRUE
2306,2021,12,19.9139,90.29,8.484,,,TRUE
2306,2021,2,19.6477,92.59,8.363,,,TRUE
2306,2021,3,16.4451,105.89,9.073,,,FALSE
2306,2021,4,13.7056,91.01,7.947,,,FALSE
2306,2021,5,14.7648,84.24,7.751,,,FALSE
2306,2021,6,10.5246,75.66,8.18,,,FALSE
2306,2021,7,9.3477,92.28,7.557,,,FALSE
2306,2022,1,23.1905,91.5,8.135,,,TRUE
2306,2022,11,14.61635,94.245,7.8415,,,FALSE
2306,2022,12,17.9826,91.3,7.444,,,TRUE
2306,2022,2,21.6421,94.83,8.036,,,TRUE
2306,2022,3,19.3373,90.64,7.753,,,TRUE
2306,2022,4,16.7269,93.9,8.023,,,TRUE
2306,2022,5,13.7294,91.96,7.585,,,FALSE
2306,2022,6,9.2203,97.84,7.655,,,FALSE
2306,2022,7,9.5155,99.14,7.818,,,FALSE
2306,2022,8,10.4874,94.87,7.858,,,FALSE
2306,2022,9,12.9362,99.5,8.204,,,FALSE
2306,2023,1,22.0767,96.33,7.844,,,TRUE
2306,2023,10,15.9565,91.22,7.344,,,FALSE
2306,2023,11,14.9025,94.51,7.276,,,FALSE
2306,2023,12,21.4721,90.75,7.043,,,TRUE
2306,2023,2,22.8324,97.17,7.838,,,TRUE
2306,2023,3,19.2511,100.17,8.138,,,TRUE
2306,2023,4,15.5157,105.96,8.152,,,FALSE
2306,2023,5,12.0564,110.36,8.181,,,FALSE
2306,2023,6,9.4573,104.98,7.635,,,FALSE
2306,2023,8,10.9256,99.4,7.454,,,FALSE
2306,2023,9,13.2184,98.34,7.504,,,FALSE
2306,2024,1,21.3326,88.96,7.012,,,TRUE
2306,2024,10,15.0732,108.75,7.97,,,FALSE
2306,2024,11,21.9989,99.11,7.976,,,TRUE
2306,2024,2,21.0321,97.97,7.858,Medium,No,TRUE
2306,2024,3,18.3697,104.06,7.946,High,Yes,FALSE
2306,2024,4,14.4728,101.45,8.054,Low,No,FALSE
2306,2024,5,12.5493,113.78,7.776,Low,No,FALSE
2306,2024,7,9.7158,113.5,8.108,,,FALSE
2306,2024,8,9.3151,126.37,8.755,,,FALSE
2306,2024,9,14.1356,97.26,8.017,,,FALSE
2306,2025,1,24.2134,101.82,8.161,High,Yes,FALSE
2306,2025,2,21.9806,109.01,8.119,High,Yes,FALSE
2306,2025,3,22.0533,98.91,8.628,,,FALSE
2306,2025,5,15.3237,105.61,8.405,,,FALSE
2306,2025,6,8.7751,124.78,8.997,,,FALSE
2311,2013,12,23.4,111.6395649,,,,TRUE
2311,2014,1,22.2462,89.5178551,,,,TRUE
2311,2014,10,16.9396,104.463305,,,,TRUE
2311,2014,11,18.68545,104.5730369,,,,TRUE
2311,2014,12,20.8461,102.3792,,,,TRUE
